,time,train4_converter_output_watertemp,train4_converter_temp,train4_converter_input_watertemp
0,2021/05/06 14:52:00,27,27,27
1,2021/05/06 14:52:30,27,27,27
2,2021/05/06 14:53:20,27,27,27
3,2021/05/06 16:01:40,27,27,27
4,2021/05/07 19:08:00,28,29,27
5,2021/05/07 19:08:10,28,29,27
6,2021/05/07 19:08:50,28,29,28
7,2021/05/07 19:09:20,28,29,28
8,2021/05/07 19:09:40,28,29,28
9,2021/05/07 19:10:00,28,29,28
10,2021/05/07 19:10:20,29,29,29
11,2021/05/07 19:11:50,29,29,29
12,2021/05/07 19:12:50,30,29,29
13,2021/05/07 19:13:20,29,29,29
14,2021/05/07 19:13:50,30,29,30
15,2021/05/07 19:15:20,30,29,30
16,2021/05/07 19:16:00,30,29,30
17,2021/05/07 19:16:10,30,29,30
18,2021/05/07 19:17:50,30,29,30
19,2021/05/07 19:19:20,30,30,30
20,2021/05/07 19:20:00,30,30,30
21,2021/05/07 19:21:50,30,30,30
22,2021/05/07 19:22:20,30,30,30
23,2021/05/07 19:23:20,30,30,30
24,2021/05/07 19:25:30,31,30,30
25,2021/05/07 19:25:50,31,30,30
26,2021/05/07 19:26:00,31,30,30
27,2021/05/07 19:26:20,31,30,30
28,2021/05/07 19:26:50,31,30,30
29,2021/05/07 19:27:40,31,30,31
30,2021/05/07 19:27:50,31,30,31
31,2021/05/07 19:28:40,31,30,31
32,2021/05/07 19:29:20,31,30,30
33,2021/05/07 19:30:30,31,30,31
34,2021/05/07 19:32:10,31,31,31
35,2021/05/07 19:32:30,31,31,31
36,2021/05/07 19:33:00,31,31,31
37,2021/05/07 19:33:10,31,31,31
38,2021/05/07 19:34:00,31,31,31
39,2021/05/07 19:34:10,31,31,31
40,2021/05/07 19:35:10,31,31,31
41,2021/05/07 19:37:20,31,31,31
42,2021/05/07 19:39:20,32,31,31
43,2021/05/07 19:40:20,32,31,32
44,2021/05/07 19:40:40,32,31,32
45,2021/05/07 19:41:40,32,31,32
46,2021/05/07 19:42:20,32,31,32
47,2021/05/07 19:44:00,31,31,31
48,2021/05/07 19:46:20,31,32,31
49,2021/05/07 19:46:40,31,32,31
50,2021/05/07 19:46:50,31,32,31
51,2021/05/07 19:47:20,31,32,30
52,2021/05/07 19:47:50,31,32,30
53,2021/05/07 19:48:00,31,32,30
54,2021/05/07 19:48:10,30,32,30
55,2021/05/07 19:49:10,30,32,30
56,2021/05/07 19:49:40,30,32,30
57,2021/05/07 19:50:30,30,32,30
58,2021/05/07 19:51:00,30,32,30
59,2021/05/07 19:52:00,30,32,30
60,2021/05/07 19:52:20,30,32,30
61,2021/05/07 19:52:30,30,32,30
62,2021/05/07 19:53:10,30,32,30
63,2021/05/07 19:54:20,30,32,30
64,2021/05/07 19:54:50,30,32,30
65,2021/05/07 19:55:20,30,32,30
66,2021/05/07 19:56:30,31,32,30
67,2021/05/07 19:57:40,31,32,30
68,2021/05/07 19:58:50,31,32,31
69,2021/05/07 20:00:00,32,32,31
70,2021/05/07 20:00:20,32,32,31
71,2021/05/07 20:01:00,32,32,32
72,2021/05/07 20:02:20,32,32,32
73,2021/05/07 20:03:50,32,32,32
74,2021/05/07 20:08:20,31,33,30
75,2021/05/07 20:09:00,30,33,30
76,2021/05/07 20:10:10,31,33,30
77,2021/05/07 20:11:20,30,33,30
78,2021/05/07 20:12:30,30,33,30
79,2021/05/10 10:11:30,37,39,36
80,2021/05/10 10:14:20,38,39,36
81,2021/05/10 10:20:40,36,39,35
82,2021/05/10 10:32:10,37,40,36
83,2021/05/10 10:46:40,36,40,35
84,2021/05/10 10:49:30,35,39,35
85,2021/05/10 10:57:20,34,39,34
86,2021/05/10 10:59:10,34,39,34
87,2021/05/10 11:08:30,42,39,40
88,2021/05/10 11:16:30,37,40,36
89,2021/05/10 11:32:10,37,40,36
90,2021/05/10 11:45:30,40,42,39
91,2021/05/10 11:47:20,42,42,40
92,2021/05/10 11:50:40,43,42,41
93,2021/05/10 11:51:20,43,42,42
94,2021/05/10 11:56:20,41,43,40
95,2021/05/10 12:02:00,41,43,40
96,2021/05/10 12:03:00,41,43,40
97,2021/05/10 12:18:30,39,43,38
98,2021/05/10 12:24:20,39,43,38
99,2021/05/10 12:49:50,43,45,42
100,2021/05/10 12:55:20,46,45,45
101,2021/05/10 12:56:00,47,45,45
102,2021/05/10 13:23:50,41,45,40
103,2021/05/10 13:24:20,41,45,40
104,2021/05/10 13:47:00,40,44,40
105,2021/05/10 13:49:10,40,44,40
106,2021/05/10 13:56:10,42,44,41
107,2021/05/10 14:03:00,42,44,41
108,2021/05/10 14:18:30,42,44,41
109,2021/05/10 14:27:10,39,44,38
110,2021/05/10 14:41:10,39,44,38
111,2021/05/10 14:42:50,37,43,36
112,2021/05/10 14:55:20,42,43,41
113,2021/05/10 15:05:20,42,44,41
114,2021/05/10 15:08:40,42,44,41
115,2021/05/10 15:19:50,43,44,42
116,2021/05/10 15:22:40,42,44,42
117,2021/05/10 15:26:30,45,45,44
